1,TV,364,579,mus vivamus vestibulum sagittis,2764.55,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
2,Cable,465,596,a odio in,1529.18,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
3,Computer,398,847,nisi,111.14,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
4,Stand,928,747,natoque,1523.56,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
5,Headphones,781,185,nisl duis ac nibh,187.49,elementum ligula vehicula consequat morbi a ipsum integer a nibh in
6,Controller,123,589,justo,563.31,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
7,Soldering,667,873,nonummy maecenas tincidunt lacus,2415.88,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
8,Speakers,637,647,nibh fusce lacus,587.45,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
9,Chair,806,673,et ultrices posuere cubilia curae,2236.54,etiam pretium iaculis justo in hac habitasse platea dictumst etiam
10,Desk,743,240,ac leo,391.47,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan
11,Modem,821,160,eget tincidunt eget tempus vel,285.35,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
12,Soldering,544,191,natoque,2045.73,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
13,Stand,427,877,pede venenatis non,177.15,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
14,Chair,915,781,vitae nisi nam ultrices libero,1962.62,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat
15,Console,687,607,ut odio cras,149.02,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin
16,Chair,653,991,ipsum primis,2107.08,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
17,USB Storage,359,226,luctus et ultrices,1708.33,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
18,Printer,700,787,maecenas pulvinar lobortis est phasellus,2557.54,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
19,Computer,761,608,rhoncus,2552.32,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam
20,Mobile Device,841,94,luctus rutrum,2603.76,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
21,Desk,705,667,sagittis dui vel nisl,2524.74,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
22,Computer,571,866,elit,711.97,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
23,Mouse,454,528,adipiscing lorem,934.48,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
24,Stand,43,54,diam erat fermentum,2064.31,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
25,Printer,644,598,viverra dapibus,567.08,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend
26,Soldering,906,225,lobortis vel dapibus,2452.66,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet
27,Controller,886,857,vivamus vestibulum sagittis,2291.89,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
28,Headphones,176,927,nisi venenatis tristique fusce congue,1364.88,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit
29,Speakers,552,951,ligula vehicula consequat morbi,2123.01,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat
30,Chair,672,227,blandit nam nulla integer pede,526.59,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu
31,Modem,321,805,vel,1121.23,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus
32,Mouse,907,826,lacus at,24.95,fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
33,Glasses,959,830,luctus et,2634.18,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius
