1,Network Advising,172,987,a libero,911.01,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
2,Counseling,757,335,libero non mattis,631.17,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis
3,Counseling,674,72,eu felis fusce,173.82,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
4,Physical Therapy,709,171,at vulputate vitae nisl,648.21,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut
5,Server Hosting,262,785,primis in faucibus orci,718.07,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
6,Aromatherapy,708,639,mattis nibh ligula nec sem,813.4,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan
7,Counseling,325,922,amet nulla quisque,993.8,at nunc commodo placerat praesent blandit nam nulla integer pede
8,Aromatherapy,487,946,lectus pellentesque at nulla,757.69,nam nulla integer pede justo lacinia eget tincidunt eget tempus
9,Posture Advising,258,373,ligula suspendisse ornare,927.18,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
10,Network Advising,854,900,tristique est et tempus,360.81,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
11,Interior Design,224,259,quam pede lobortis,281.18,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
12,Anger Management,589,536,rutrum nulla nunc purus phasellus,276.88,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
13,Surgery,56,855,lacus morbi sem,296.96,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros
14,Massage,813,456,ultrices posuere cubilia curae nulla,843.07,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id
15,Moxa,554,603,amet nulla quisque arcu libero,713.62,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
16,Acupuncture,46,451,eu orci,494.57,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia
17,Surgery,568,929,in felis eu sapien,188.36,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
18,Aromatherapy,8,410,non pretium quis,999.55,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu
19,Nutrition Advising,829,862,id ornare imperdiet,343.95,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui
20,Game Coaching,911,797,nam ultrices,309.35,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc
21,Counseling,988,417,erat eros viverra,56.93,eget nunc donec quis orci eget orci vehicula condimentum curabitur
22,Physical Therapy,843,764,integer aliquet,178.48,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam
23,Physical Therapy,328,796,nulla ut erat id,978.33,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus
24,Surgery,458,697,curabitur convallis duis,663.66,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus
25,Counseling,741,46,vel enim sit,928.93,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
26,Nutrition Advising,900,318,orci mauris lacinia sapien,197.98,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
27,Physical Therapy,509,723,amet eleifend pede libero,248.95,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
28,Aromatherapy,705,227,vestibulum ante ipsum primis in,418.18,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
29,Server Hosting,746,653,a feugiat et eros,381.39,nam congue risus semper porta volutpat quam pede lobortis ligula sit
30,Nutrition Advising,803,302,vivamus vel,717.89,proin at turpis a pede posuere nonummy integer non velit donec diam
31,Cable Management,208,282,tincidunt lacus at velit,698.44,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
